text,label,label_name,label_cn
你在我最无助的时候给了我依靠！,2,love,爱
此刻，深夜发的消息，第二天还是没有回复，感觉需要好好消化一下。,0,sadness,悲伤
感到被整个世界抛弃了。,0,sadness,悲伤
被人恶意攻击，我要反击到底，真是百感交集。,3,anger,愤怒
刚才，发现自己的视频突然火了，希望自己能快点好起来。,5,surprise,惊讶
突然，能遇到你，是我这辈子最大的幸运。,2,love,爱
确实凌晨三点醒来，发现自己又是一个人。,0,sadness,悲伤
每次和你在一起，我都觉得世界很美好，没想到会这样。,2,love,爱
一再被这样对待，我的忍耐已经到了极限，不得不说出来。,3,anger,愤怒
此刻，看到孩子的笑脸，我也跟着开心起来。,1,joy,快乐
突然，眼泪悄悄滑落，却没有人在身旁安慰。,0,sadness,悲伤
没想到他竟然是退伍军人，也许这就是生活吧。,5,surprise,惊讶
前几天，被选为代表发言，又紧张又兴奋。,1,joy,快乐
明明已经很努力了，为什么还是这样！,0,sadness,悲伤
那一瞬间，天哪！这简直令人难以置信！,5,surprise,惊讶
今天阳光洒进来，整个人都暖了。,1,joy,快乐
全身冰凉，不是因为冷，而是因为畏惧。,4,fear,恐惧
太看到别人团聚，想到了去世的爷爷。,0,sadness,悲伤
这件事让我重新认识了这个世界，太惊奇了，想找个人说说话。,5,surprise,惊讶
简直第一次尝试潜水，看到了美丽的海底世界。,1,joy,快乐
这件事让我彻夜难眠，气得要命，没想到会这样。,3,anger,愤怒
终于盼到了这一天，激动得不知道怎么表达，希望一切都会好起来。,1,joy,快乐
突然被邀请去当顾问，希望自己能快点好起来。,5,surprise,惊讶
一大早，被人无故冷落，我真的很受伤，不知道这算不算正常。,3,anger,愤怒
当时感到脑子嗡的一声，太震撼了。,5,surprise,惊讶
又是失眠的一天，脑子里全是乱的。,0,sadness,悲伤
那一瞬间，感觉有什么不好的事情要发生，我很不安，感觉整个人都不好了。,4,fear,恐惧
感觉被快乐包围着，美滋滋。,1,joy,快乐
那天，朋友圈好多人点赞，开心。,1,joy,快乐
那天，发现自己的idea被大公司采用了。,5,surprise,惊讶
连最基本的尊重都没有，我凭什么忍，真的不知道该怎么办。,3,anger,愤怒
有一种说不出来的难受，压在胸口，感觉需要好好消化一下。,0,sadness,悲伤
不知道为什么，你给我系鞋带的样子，我记了很久，感觉整个人都不好了。,2,love,爱
再也不想回想那段时光，太痛了，希望自己能快点好起来。,0,sadness,悲伤
发现自己的名字被载入史册了。,5,surprise,惊讶
被人恶意诽谤，我要让他们付出代价，希望一切都会好起来。,3,anger,愤怒
